coefficients_objectif,matrice_contraintes,borne_contraintes,solution,z_optimal
"[2, 83]","[38, 96, 32, 77, 66, 4]","[137, 69, 36]","[0.0, 0.9]",74
"[41, 5]","[100, 38, 60, 51, 100, 53]","[36, 33, 38]","[0.4, 0.0]",15
"[62, 7]","[40, 18, 43, 57, 2, 79]","[9, 132, 81]","[0.2, 0.0]",14
"[16, 70]","[77, 48, 15, 9, 90, 100]","[40, 56, 8]","[0.0, 0.1]",6
"[68, 41]","[81, 32, 2, 22, 100, 60]","[115, 120, 36]","[0.0, 0.6]",25
"[49, 25]","[51, 29, 56, 36, 82, 99]","[46, 3, 122]","[0.1, 0.0]",3
"[17, 62]","[10, 39, 63, 37, 45, 81]","[74, 66, 21]","[0.0, 0.3]",16
"[5, 54]","[17, 16, 52, 87, 98, 1]","[146, 133, 70]","[0.0, 1.5]",83
"[79, 32]","[53, 4, 29, 59, 56, 9]","[63, 100, 66]","[1.0, 1.2]",116
"[79, 90]","[61, 38, 78, 38, 29, 93]","[128, 25, 47]","[0.1, 0.5]",50
"[64, 30]","[90, 92, 28, 71, 20, 91]","[61, 41, 78]","[0.7, 0.0]",43
"[22, 40]","[58, 59, 60, 63, 45, 20]","[1, 121, 58]","[0.0, 0.0]",1
"[63, 65]","[70, 47, 14, 36, 84, 58]","[68, 61, 135]","[0.0, 1.4]",94
"[36, 73]","[20, 66, 60, 25, 79, 8]","[116, 25, 70]","[0.0, 1.0]",73
"[96, 46]","[54, 76, 84, 36, 59, 6]","[142, 46, 92]","[0.0, 1.3]",59
"[26, 79]","[50, 1, 57, 94, 13, 43]","[52, 131, 73]","[0.0, 1.4]",110
"[30, 17]","[99, 11, 92, 72, 13, 91]","[50, 130, 114]","[0.4, 1.2]",32
"[81, 61]","[12, 81, 13, 97, 5, 78]","[14, 134, 112]","[1.2, 0.0]",94
"[43, 25]","[97, 15, 94, 79, 4, 2]","[76, 54, 49]","[0.6, 0.0]",25
"[47, 67]","[13, 99, 6, 64, 11, 36]","[51, 6, 130]","[1.0, 0.0]",47
"[48, 62]","[59, 86, 29, 39, 51, 74]","[129, 43, 49]","[1.0, 0.0]",46
"[29, 15]","[3, 31, 12, 33, 4, 55]","[77, 16, 62]","[1.3, 0.0]",39
"[50, 88]","[1, 98, 30, 62, 36, 12]","[137, 75, 101]","[2.5, 0.0]",125
"[39, 49]","[51, 88, 29, 36, 59, 39]","[149, 108, 147]","[2.2, 0.4]",107
"[38, 76]","[48, 53, 70, 7, 4, 33]","[3, 128, 103]","[0.0, 0.1]",4
"[92, 83]","[86, 45, 92, 71, 24, 25]","[21, 101, 100]","[0.0, 0.5]",39
"[68, 53]","[92, 5, 45, 41, 56, 54]","[43, 134, 114]","[0.4, 1.7]",117
"[13, 15]","[76, 83, 85, 95, 18, 97]","[139, 121, 31]","[1.3, 0.1]",19
"[56, 28]","[99, 13, 11, 1, 83, 39]","[6, 93, 22]","[0.0, 0.5]",13
"[58, 14]","[16, 59, 9, 19, 16, 40]","[4, 142, 12]","[0.2, 0.0]",14
"[35, 67]","[69, 38, 38, 63, 13, 86]","[61, 72, 64]","[0.5, 0.7]",63
"[53, 93]","[77, 31, 50, 88, 47, 43]","[100, 70, 88]","[1.3, 0.1]",74
"[49, 70]","[88, 100, 28, 96, 32, 13]","[32, 13, 92]","[0.3, 0.0]",18
"[54, 74]","[25, 58, 87, 98, 30, 77]","[75, 52, 14]","[0.5, 0.0]",25
"[100, 50]","[77, 20, 87, 5, 76, 14]","[102, 138, 37]","[0.0, 2.6]",132
"[67, 4]","[55, 19, 56, 88, 76, 32]","[110, 144, 131]","[1.7, 0.0]",115
"[70, 54]","[4, 35, 37, 87, 86, 72]","[127, 62, 135]","[1.6, 0.0]",110
"[11, 1]","[30, 97, 95, 51, 92, 47]","[115, 67, 110]","[0.7, 0.0]",8
"[64, 68]","[2, 80, 1, 9, 36, 87]","[137, 46, 31]","[0.9, 0.0]",55
"[32, 55]","[51, 63, 13, 50, 79, 84]","[39, 138, 79]","[0.0, 0.6]",34
"[96, 79]","[20, 32, 74, 96, 78, 58]","[127, 85, 132]","[1.1, 0.0]",110
"[25, 37]","[10, 7, 22, 6, 62, 87]","[138, 126, 149]","[0.0, 1.7]",63
"[14, 32]","[31, 22, 72, 87, 69, 28]","[33, 82, 140]","[0.0, 0.9]",30
"[99, 100]","[64, 44, 53, 39, 38, 97]","[117, 4, 29]","[0.0, 0.1]",10
"[91, 78]","[81, 91, 35, 71, 17, 24]","[99, 45, 62]","[1.2, 0.0]",111
"[9, 42]","[56, 80, 52, 97, 81, 61]","[41, 138, 132]","[0.0, 0.5]",22
"[42, 81]","[44, 44, 2, 71, 93, 80]","[108, 15, 127]","[1.2, 0.2]",65
"[82, 57]","[49, 47, 88, 91, 13, 45]","[67, 120, 5]","[0.4, 0.0]",32
"[7, 29]","[25, 51, 22, 50, 18, 26]","[109, 143, 103]","[0.0, 2.1]",62
"[64, 33]","[77, 54, 91, 58, 39, 34]","[67, 63, 89]","[0.7, 0.0]",44
"[32, 96]","[53, 77, 28, 89, 67, 52]","[64, 107, 77]","[0.0, 0.8]",80
"[64, 6]","[58, 96, 39, 3, 44, 66]","[13, 69, 3]","[0.1, 0.0]",4
"[95, 42]","[54, 88, 23, 11, 2, 39]","[5, 107, 86]","[0.1, 0.0]",9
"[48, 27]","[77, 61, 91, 43, 51, 86]","[91, 79, 118]","[0.4, 1.0]",46
"[16, 63]","[91, 19, 8, 39, 24, 94]","[2, 57, 101]","[0.0, 0.1]",7
"[18, 64]","[46, 12, 84, 98, 34, 25]","[58, 86, 16]","[0.0, 0.6]",41
"[26, 47]","[15, 65, 26, 44, 33, 80]","[10, 38, 74]","[0.7, 0.0]",17
"[39, 34]","[46, 90, 79, 13, 37, 100]","[105, 128, 13]","[0.4, 0.0]",14
"[82, 36]","[73, 9, 20, 15, 59, 40]","[147, 147, 43]","[0.7, 0.0]",60
"[86, 32]","[74, 18, 92, 22, 62, 12]","[65, 68, 94]","[0.0, 3.1]",99
"[23, 46]","[35, 50, 38, 48, 98, 33]","[110, 14, 73]","[0.0, 0.3]",13
"[94, 63]","[61, 99, 15, 44, 25, 77]","[74, 18, 119]","[1.2, 0.0]",113
"[16, 71]","[21, 39, 68, 62, 66, 37]","[131, 137, 148]","[0.0, 2.2]",157
"[4, 69]","[37, 17, 77, 90, 89, 41]","[132, 23, 73]","[0.0, 0.3]",18
"[58, 96]","[75, 82, 90, 37, 93, 30]","[69, 37, 115]","[0.0, 0.8]",81
"[19, 57]","[13, 63, 80, 57, 56, 27]","[37, 40, 108]","[0.1, 0.6]",34
"[56, 5]","[8, 84, 15, 36, 40, 17]","[60, 108, 123]","[3.1, 0.0]",172
"[72, 92]","[94, 100, 49, 77, 81, 70]","[101, 128, 112]","[0.0, 1.0]",93
"[79, 61]","[63, 33, 83, 39, 58, 83]","[22, 112, 20]","[0.3, 0.0]",27
"[95, 74]","[32, 43, 12, 25, 57, 64]","[70, 81, 7]","[0.1, 0.0]",12
"[30, 33]","[22, 52, 98, 3, 64, 36]","[149, 19, 139]","[0.1, 2.8]",96
"[47, 4]","[18, 39, 45, 72, 84, 96]","[87, 105, 100]","[1.2, 0.0]",56
"[93, 94]","[63, 77, 79, 30, 44, 96]","[85, 121, 11]","[0.2, 0.0]",23
"[41, 20]","[76, 87, 16, 100, 56, 77]","[9, 70, 138]","[0.1, 0.0]",5
"[90, 88]","[17, 34, 89, 56, 2, 63]","[128, 54, 115]","[0.0, 1.0]",85
"[91, 23]","[51, 88, 23, 99, 30, 53]","[1, 119, 104]","[0.0, 0.0]",2
"[59, 30]","[29, 49, 22, 3, 22, 46]","[51, 55, 18]","[0.8, 0.0]",48
"[9, 93]","[44, 74, 30, 45, 24, 57]","[44, 133, 42]","[0.0, 0.6]",55
"[49, 62]","[17, 93, 85, 4, 96, 81]","[113, 150, 61]","[0.0, 0.8]",47
"[52, 19]","[31, 6, 36, 74, 69, 85]","[112, 104, 118]","[1.7, 0.0]",89
"[20, 81]","[46, 79, 54, 67, 37, 7]","[139, 120, 103]","[0.0, 1.8]",143
"[80, 84]","[14, 84, 60, 89, 61, 99]","[133, 46, 12]","[0.2, 0.0]",16
"[39, 4]","[99, 98, 29, 18, 3, 48]","[100, 62, 122]","[1.0, 0.0]",39
"[73, 27]","[69, 100, 82, 100, 90, 54]","[22, 124, 28]","[0.3, 0.0]",23
"[40, 34]","[7, 57, 87, 41, 39, 30]","[39, 74, 131]","[0.6, 0.6]",43
"[86, 86]","[75, 67, 74, 63, 18, 20]","[40, 2, 76]","[0.0, 0.0]",3
"[99, 12]","[5, 26, 8, 22, 52, 19]","[9, 85, 146]","[1.8, 0.0]",178
"[84, 37]","[13, 94, 49, 57, 4, 65]","[20, 103, 84]","[1.5, 0.0]",129
"[97, 59]","[53, 21, 15, 72, 14, 90]","[146, 109, 86]","[2.5, 0.6]",279
"[65, 74]","[86, 31, 19, 41, 41, 100]","[21, 118, 60]","[0.0, 0.6]",46
"[46, 45]","[5, 50, 96, 20, 52, 62]","[30, 115, 37]","[0.7, 0.0]",33
"[76, 25]","[75, 59, 56, 2, 29, 90]","[39, 113, 120]","[0.5, 0.0]",40
"[95, 23]","[7, 94, 13, 9, 50, 41]","[47, 67, 93]","[1.9, 0.0]",177
"[37, 89]","[85, 61, 3, 6, 27, 14]","[15, 61, 16]","[0.0, 0.2]",22
"[66, 97]","[56, 78, 39, 23, 62, 26]","[53, 28, 49]","[0.0, 0.7]",66
"[99, 93]","[83, 47, 35, 38, 86, 92]","[49, 7, 131]","[0.2, 0.0]",20
"[90, 83]","[6, 84, 74, 58, 27, 22]","[46, 42, 118]","[0.1, 0.5]",58
"[24, 69]","[91, 59, 51, 74, 85, 50]","[35, 21, 22]","[0.0, 0.3]",20
"[50, 52]","[20, 36, 88, 22, 26, 11]","[77, 126, 26]","[0.1, 2.1]",114
"[55, 75]","[49, 18, 22, 40, 23, 19]","[144, 48, 68]","[2.2, 0.0]",120
"[6, 36]","[81, 90, 40, 25, 49, 69]","[39, 34, 116]","[0.0, 0.4]",16
"[81, 1]","[80, 60, 22, 33, 47, 73]","[121, 145, 31]","[0.7, 0.0]",53
"[91, 58]","[83, 19, 77, 93, 56, 45]","[127, 65, 30]","[0.5, 0.0]",49
"[63, 92]","[22, 13, 70, 60, 60, 90]","[69, 72, 90]","[0.4, 0.7]",93
"[12, 79]","[96, 57, 95, 99, 20, 14]","[82, 19, 135]","[0.0, 0.2]",15
"[65, 75]","[68, 6, 65, 80, 5, 30]","[109, 108, 69]","[1.6, 0.1]",108
"[53, 68]","[57, 40, 73, 37, 81, 95]","[11, 141, 51]","[0.0, 0.3]",19
"[71, 8]","[78, 51, 82, 67, 45, 13]","[78, 57, 31]","[0.7, 0.0]",49
"[79, 57]","[3, 83, 4, 51, 83, 82]","[142, 137, 112]","[1.3, 0.0]",107
"[50, 42]","[47, 93, 75, 35, 46, 72]","[92, 145, 66]","[1.4, 0.0]",72
"[83, 80]","[35, 96, 95, 43, 42, 89]","[147, 105, 21]","[0.5, 0.0]",42
"[14, 52]","[87, 88, 75, 23, 50, 27]","[102, 130, 1]","[0.0, 0.0]",2
"[87, 42]","[75, 38, 23, 75, 91, 90]","[83, 106, 41]","[0.5, 0.0]",39
"[53, 17]","[46, 21, 45, 6, 89, 28]","[106, 88, 4]","[0.0, 0.1]",2
"[77, 44]","[66, 81, 50, 100, 23, 80]","[9, 145, 120]","[0.1, 0.0]",10
"[12, 78]","[89, 49, 40, 52, 58, 6]","[39, 141, 79]","[0.0, 0.8]",62
"[93, 85]","[92, 24, 61, 17, 9, 48]","[5, 1, 11]","[0.0, 0.1]",5
"[48, 58]","[60, 37, 8, 41, 26, 90]","[114, 76, 31]","[1.2, 0.0]",57
"[62, 19]","[57, 65, 81, 11, 79, 82]","[77, 59, 53]","[0.7, 0.0]",42
"[81, 85]","[46, 40, 61, 13, 47, 91]","[68, 45, 79]","[0.6, 0.5]",97
"[54, 90]","[17, 15, 98, 37, 38, 90]","[101, 52, 38]","[0.4, 0.2]",45
"[95, 1]","[43, 7, 53, 41, 52, 68]","[55, 43, 118]","[0.8, 0.0]",77
"[70, 14]","[85, 40, 85, 51, 68, 85]","[27, 32, 101]","[0.3, 0.0]",22
"[33, 89]","[50, 60, 64, 31, 4, 46]","[149, 75, 45]","[0.7, 0.9]",105
"[98, 19]","[51, 8, 79, 96, 8, 59]","[136, 122, 76]","[1.5, 0.0]",151
"[96, 49]","[19, 96, 43, 94, 13, 86]","[42, 150, 56]","[2.2, 0.0]",212
"[70, 86]","[33, 88, 89, 45, 49, 54]","[121, 34, 126]","[0.0, 0.8]",65
"[70, 24]","[64, 81, 53, 17, 81, 91]","[99, 2, 8]","[0.0, 0.1]",3
"[51, 67]","[84, 90, 47, 16, 75, 67]","[73, 113, 54]","[0.0, 0.8]",54
"[29, 19]","[96, 2, 33, 47, 55, 46]","[70, 30, 67]","[0.7, 0.1]",24
"[71, 22]","[14, 38, 47, 57, 78, 17]","[74, 129, 127]","[1.4, 1.1]",123
"[8, 83]","[34, 33, 24, 40, 82, 56]","[129, 55, 116]","[0.0, 1.4]",114
"[68, 77]","[41, 89, 13, 68, 45, 56]","[45, 2, 22]","[0.2, 0.0]",10
"[20, 96]","[44, 76, 30, 77, 2, 68]","[93, 81, 101]","[0.0, 1.1]",101
"[21, 19]","[98, 73, 89, 1, 31, 14]","[74, 141, 67]","[0.0, 1.0]",19
"[7, 61]","[6, 47, 14, 11, 11, 89]","[18, 38, 99]","[0.0, 0.4]",23
"[82, 92]","[99, 93, 48, 77, 77, 41]","[59, 15, 28]","[0.3, 0.0]",26
"[34, 78]","[60, 28, 51, 90, 37, 39]","[56, 11, 68]","[0.0, 0.1]",10
"[80, 5]","[8, 47, 8, 88, 17, 69]","[77, 110, 11]","[0.6, 0.0]",52
"[2, 76]","[23, 67, 50, 67, 31, 26]","[147, 68, 116]","[0.0, 1.0]",77
"[88, 6]","[67, 2, 19, 8, 18, 80]","[78, 98, 120]","[1.1, 1.2]",107
"[80, 75]","[63, 89, 90, 58, 9, 13]","[82, 36, 43]","[0.0, 0.6]",47
"[93, 82]","[14, 49, 21, 34, 12, 57]","[39, 42, 63]","[2.0, 0.0]",186
"[57, 57]","[23, 21, 9, 80, 56, 32]","[28, 119, 113]","[0.0, 1.3]",76
"[95, 45]","[94, 39, 44, 18, 39, 81]","[18, 9, 24]","[0.1, 0.3]",20
"[58, 19]","[21, 10, 46, 8, 19, 94]","[147, 146, 19]","[1.0, 0.0]",58
"[39, 61]","[20, 100, 20, 90, 33, 66]","[82, 33, 7]","[0.2, 0.0]",8
"[92, 77]","[7, 8, 1, 70, 20, 50]","[111, 124, 115]","[5.8, 0.0]",529
"[83, 11]","[39, 97, 44, 12, 73, 32]","[145, 8, 55]","[0.2, 0.0]",15
"[2, 7]","[46, 22, 8, 55, 77, 61]","[110, 75, 6]","[0.0, 0.1]",1
"[19, 13]","[62, 63, 86, 59, 75, 71]","[101, 67, 87]","[0.8, 0.0]",15
"[74, 48]","[31, 3, 24, 34, 2, 9]","[38, 43, 35]","[1.2, 0.4]",108
"[2, 32]","[54, 42, 38, 66, 63, 2]","[129, 110, 110]","[0.0, 1.7]",53
"[100, 62]","[9, 53, 38, 90, 51, 9]","[59, 75, 29]","[0.5, 0.6]",85
"[30, 72]","[54, 93, 23, 18, 35, 89]","[125, 86, 66]","[1.9, 0.0]",57
"[99, 37]","[1, 27, 99, 21, 28, 24]","[107, 89, 120]","[0.1, 4.0]",152
"[75, 99]","[18, 37, 55, 87, 50, 62]","[77, 83, 111]","[1.5, 0.0]",113
"[75, 56]","[19, 48, 38, 43, 61, 6]","[123, 42, 95]","[1.1, 0.0]",83
"[78, 64]","[30, 47, 79, 84, 81, 95]","[120, 30, 19]","[0.2, 0.0]",18
"[7, 84]","[43, 31, 88, 73, 57, 39]","[83, 67, 45]","[0.0, 0.9]",77
"[43, 6]","[29, 38, 62, 99, 92, 50]","[6, 121, 58]","[0.2, 0.0]",9
"[43, 19]","[24, 89, 92, 75, 86, 97]","[35, 82, 98]","[0.9, 0.0]",38
"[52, 54]","[61, 41, 14, 43, 22, 28]","[72, 22, 104]","[1.1, 0.2]",64
"[82, 63]","[84, 35, 93, 55, 65, 4]","[110, 24, 70]","[0.0, 0.4]",27
"[77, 69]","[26, 1, 63, 37, 19, 24]","[110, 7, 149]","[0.0, 0.2]",13
"[35, 56]","[68, 74, 50, 19, 60, 72]","[96, 144, 54]","[0.0, 0.8]",42
"[90, 100]","[79, 9, 18, 24, 69, 43]","[132, 40, 9]","[0.0, 0.2]",21
"[35, 92]","[28, 38, 96, 43, 54, 55]","[134, 8, 145]","[0.0, 0.2]",17
"[93, 55]","[50, 67, 4, 42, 95, 8]","[11, 46, 73]","[0.2, 0.0]",20
"[19, 98]","[68, 51, 87, 97, 8, 85]","[6, 97, 96]","[0.0, 0.1]",12
"[71, 11]","[6, 64, 15, 72, 38, 19]","[129, 65, 21]","[0.6, 0.0]",39
"[19, 96]","[17, 65, 99, 75, 90, 21]","[24, 144, 12]","[0.0, 0.4]",35
"[33, 75]","[34, 49, 100, 99, 34, 73]","[85, 39, 110]","[0.0, 0.4]",30
"[87, 11]","[14, 29, 38, 20, 15, 82]","[10, 21, 82]","[0.6, 0.0]",48
"[13, 11]","[22, 21, 82, 62, 83, 50]","[119, 67, 49]","[0.0, 1.0]",11
"[58, 55]","[89, 78, 8, 4, 66, 4]","[30, 99, 104]","[0.0, 0.4]",21
"[35, 43]","[83, 27, 34, 89, 35, 87]","[46, 142, 61]","[0.4, 0.6]",37
"[26, 100]","[49, 97, 74, 57, 49, 34]","[56, 35, 93]","[0.0, 0.6]",58
"[62, 68]","[54, 28, 19, 87, 55, 51]","[48, 145, 69]","[0.0, 1.4]",92
"[65, 61]","[50, 28, 97, 8, 94, 73]","[25, 52, 54]","[0.0, 0.7]",45
"[72, 47]","[65, 85, 11, 60, 74, 5]","[24, 40, 110]","[0.4, 0.0]",27
"[53, 62]","[86, 15, 34, 68, 100, 90]","[128, 134, 47]","[0.0, 0.5]",32
"[1, 47]","[16, 84, 21, 67, 59, 71]","[47, 87, 136]","[0.0, 0.6]",26
"[100, 7]","[54, 79, 29, 15, 2, 40]","[118, 116, 19]","[2.2, 0.0]",219
"[53, 4]","[33, 30, 38, 49, 16, 18]","[120, 38, 117]","[1.0, 0.0]",53
"[49, 7]","[100, 34, 68, 75, 5, 36]","[47, 25, 21]","[0.4, 0.0]",18
"[94, 71]","[23, 52, 25, 69, 20, 53]","[10, 46, 99]","[0.4, 0.0]",41
"[51, 97]","[11, 71, 99, 29, 39, 75]","[47, 42, 55]","[0.2, 0.6]",71
"[26, 37]","[93, 69, 29, 26, 66, 36]","[59, 109, 8]","[0.0, 0.2]",8
"[75, 18]","[10, 35, 59, 43, 8, 87]","[24, 80, 39]","[1.4, 0.0]",102
"[99, 21]","[26, 33, 83, 52, 57, 69]","[84, 136, 25]","[0.4, 0.0]",43
"[2, 17]","[51, 60, 95, 89, 66, 39]","[66, 46, 15]","[0.0, 0.4]",7
"[15, 29]","[21, 26, 30, 48, 95, 2]","[115, 15, 39]","[0.0, 0.3]",9
"[65, 27]","[25, 27, 91, 3, 67, 1]","[32, 16, 46]","[0.1, 1.1]",38
"[43, 54]","[16, 11, 28, 99, 30, 8]","[132, 20, 22]","[0.7, 0.0]",31
"[80, 82]","[46, 38, 38, 36, 68, 91]","[13, 105, 33]","[0.0, 0.3]",28
"[33, 92]","[29, 40, 21, 41, 35, 16]","[27, 125, 146]","[0.0, 0.7]",62
"[98, 13]","[1, 40, 38, 8, 40, 45]","[48, 101, 20]","[0.5, 0.0]",49
"[10, 45]","[62, 91, 66, 3, 79, 1]","[43, 48, 105]","[0.0, 0.5]",21
"[21, 96]","[74, 30, 89, 46, 37, 91]","[73, 41, 80]","[0.0, 0.9]",84
"[66, 86]","[89, 45, 34, 36, 95, 88]","[60, 94, 42]","[0.0, 0.5]",41
"[94, 12]","[82, 39, 7, 1, 67, 83]","[21, 55, 118]","[0.3, 0.0]",24
"[48, 24]","[82, 81, 4, 81, 87, 100]","[15, 150, 114]","[0.2, 0.0]",9
"[82, 77]","[78, 60, 68, 52, 9, 67]","[41, 54, 111]","[0.0, 0.7]",53
"[88, 49]","[16, 73, 97, 37, 6, 85]","[150, 51, 66]","[0.2, 0.8]",58
"[65, 75]","[63, 53, 39, 81, 10, 19]","[131, 93, 136]","[1.9, 0.2]",140
"[87, 18]","[31, 83, 65, 52, 11, 43]","[113, 14, 43]","[0.2, 0.0]",19
"[25, 92]","[71, 34, 53, 6, 38, 16]","[122, 57, 131]","[0.0, 3.6]",330
"[77, 64]","[49, 88, 55, 80, 77, 42]","[122, 91, 5]","[0.0, 0.1]",8
"[100, 80]","[86, 43, 38, 55, 5, 62]","[1, 149, 133]","[0.0, 0.0]",2
"[40, 72]","[2, 90, 32, 13, 55, 77]","[68, 98, 104]","[0.9, 0.7]",87
"[58, 31]","[72, 77, 79, 96, 34, 36]","[145, 25, 42]","[0.3, 0.0]",18
"[45, 78]","[18, 69, 35, 68, 70, 15]","[31, 78, 62]","[0.8, 0.2]",56
"[7, 48]","[86, 88, 33, 5, 8, 16]","[82, 141, 11]","[0.0, 0.7]",33
"[61, 53]","[8, 32, 71, 70, 27, 94]","[121, 57, 124]","[0.8, 0.0]",49
"[50, 50]","[72, 46, 58, 6, 43, 21]","[23, 69, 140]","[0.0, 0.5]",25
"[2, 44]","[98, 55, 83, 31, 10, 43]","[8, 78, 44]","[0.0, 0.1]",6
"[12, 18]","[54, 75, 27, 76, 2, 48]","[36, 98, 71]","[0.0, 0.5]",9
"[95, 46]","[81, 75, 67, 40, 69, 28]","[30, 88, 76]","[0.4, 0.0]",35
"[97, 4]","[96, 25, 66, 78, 61, 58]","[149, 71, 134]","[1.1, 0.0]",104
"[4, 82]","[80, 86, 88, 93, 82, 12]","[4, 62, 148]","[0.0, 0.0]",4
"[3, 14]","[26, 33, 93, 13, 30, 16]","[22, 59, 85]","[0.0, 0.7]",9
"[67, 30]","[20, 58, 70, 55, 8, 37]","[123, 123, 11]","[1.4, 0.0]",92
"[52, 64]","[86, 43, 73, 55, 70, 74]","[76, 34, 132]","[0.0, 0.6]",40
"[89, 95]","[59, 33, 40, 50, 25, 90]","[18, 143, 14]","[0.3, 0.1]",31
"[90, 75]","[82, 53, 62, 18, 32, 74]","[144, 39, 76]","[0.4, 0.9]",99
"[13, 50]","[22, 86, 94, 5, 12, 43]","[24, 141, 78]","[1.1, 0.0]",14
"[42, 69]","[1, 84, 65, 65, 25, 80]","[26, 86, 140]","[1.0, 0.3]",64
"[34, 79]","[73, 65, 73, 76, 18, 39]","[31, 148, 131]","[0.0, 0.5]",38
"[76, 98]","[65, 87, 86, 33, 58, 28]","[34, 108, 57]","[0.5, 0.0]",40
"[47, 70]","[16, 74, 39, 9, 85, 63]","[87, 63, 69]","[0.0, 1.1]",77
"[92, 61]","[7, 7, 64, 99, 50, 6]","[56, 70, 97]","[1.1, 0.0]",101
"[93, 15]","[28, 10, 90, 4, 60, 66]","[31, 59, 14]","[0.2, 0.0]",22
"[48, 32]","[24, 49, 30, 8, 21, 4]","[8, 18, 16]","[0.3, 0.0]",16
"[17, 42]","[33, 85, 9, 26, 83, 45]","[87, 12, 91]","[1.0, 0.1]",22
"[76, 34]","[99, 4, 66, 12, 49, 95]","[105, 44, 53]","[0.6, 0.2]",55
"[99, 92]","[30, 78, 83, 33, 71, 11]","[108, 21, 77]","[0.0, 0.6]",59
"[83, 59]","[14, 27, 95, 96, 37, 44]","[90, 110, 86]","[1.2, 0.0]",96
"[35, 53]","[92, 28, 45, 76, 10, 44]","[64, 39, 40]","[0.7, 0.1]",30
"[90, 73]","[62, 38, 26, 32, 12, 84]","[96, 67, 150]","[0.5, 1.7]",169
"[95, 69]","[81, 80, 58, 41, 33, 84]","[45, 22, 55]","[0.0, 0.5]",37
"[42, 41]","[80, 33, 64, 11, 59, 79]","[5, 127, 7]","[0.0, 0.1]",4
"[13, 100]","[54, 67, 46, 6, 13, 9]","[18, 50, 111]","[0.0, 0.3]",27
"[76, 16]","[67, 27, 96, 55, 77, 93]","[67, 58, 135]","[0.6, 0.0]",46
"[32, 77]","[31, 47, 17, 22, 38, 9]","[12, 65, 11]","[0.0, 0.3]",20
"[67, 88]","[59, 92, 84, 96, 91, 35]","[92, 78, 120]","[0.0, 0.8]",72
"[28, 55]","[77, 49, 43, 9, 65, 44]","[80, 10, 96]","[0.0, 1.1]",61
"[67, 7]","[4, 87, 70, 32, 97, 68]","[64, 5, 142]","[0.1, 0.0]",5
"[96, 79]","[41, 32, 54, 71, 35, 67]","[1, 150, 69]","[0.0, 0.0]",2
"[43, 43]","[71, 47, 58, 28, 63, 49]","[141, 97, 148]","[0.0, 3.0]",129
"[87, 42]","[53, 73, 5, 98, 73, 33]","[57, 44, 44]","[0.4, 0.4]",54
"[92, 54]","[88, 83, 27, 35, 66, 30]","[93, 139, 92]","[1.1, 0.0]",97
"[24, 10]","[56, 74, 64, 18, 47, 54]","[3, 71, 51]","[0.1, 0.0]",1
"[4, 92]","[87, 14, 73, 10, 9, 79]","[139, 20, 24]","[0.0, 0.3]",28
"[6, 14]","[22, 11, 26, 11, 5, 93]","[103, 12, 122]","[0.0, 1.1]",15
"[57, 84]","[31, 85, 71, 79, 52, 81]","[95, 39, 137]","[0.0, 0.5]",41
"[74, 4]","[49, 70, 80, 78, 27, 9]","[27, 95, 97]","[0.6, 0.0]",41
"[81, 51]","[61, 73, 68, 12, 49, 95]","[79, 13, 36]","[0.1, 0.3]",27
"[10, 36]","[76, 1, 54, 59, 39, 66]","[18, 77, 141]","[0.0, 1.3]",47
"[69, 93]","[14, 37, 11, 73, 66, 8]","[33, 148, 149]","[2.3, 0.0]",159
"[29, 92]","[42, 58, 17, 56, 15, 37]","[42, 82, 23]","[0.0, 0.6]",57
"[51, 31]","[79, 69, 26, 73, 31, 6]","[119, 36, 83]","[1.4, 0.0]",71
"[75, 77]","[22, 61, 14, 41, 45, 59]","[101, 95, 131]","[2.9, 0.0]",218
"[95, 55]","[46, 67, 86, 89, 33, 84]","[146, 137, 85]","[1.6, 0.0]",151
"[46, 28]","[48, 98, 84, 79, 100, 50]","[10, 8, 59]","[0.1, 0.0]",4
"[4, 67]","[38, 64, 10, 9, 12, 95]","[143, 55, 33]","[0.0, 0.3]",23
"[85, 74]","[8, 95, 37, 70, 19, 41]","[29, 64, 127]","[1.7, 0.0]",147
"[17, 6]","[57, 55, 31, 48, 10, 66]","[135, 136, 150]","[2.4, 0.0]",40
"[4, 21]","[66, 12, 26, 88, 70, 1]","[38, 133, 20]","[0.0, 1.5]",32
"[33, 82]","[26, 95, 56, 20, 49, 40]","[133, 102, 70]","[0.4, 1.3]",119
"[2, 64]","[41, 18, 78, 31, 13, 88]","[53, 11, 44]","[0.0, 0.4]",23
"[6, 63]","[10, 87, 45, 44, 41, 37]","[1, 46, 68]","[0.0, 0.0]",1
"[89, 77]","[23, 30, 28, 65, 85, 43]","[63, 24, 139]","[0.9, 0.0]",76
"[25, 100]","[64, 15, 39, 78, 92, 36]","[78, 32, 102]","[0.0, 0.4]",41
"[41, 13]","[47, 59, 48, 69, 18, 78]","[107, 143, 28]","[1.6, 0.0]",64
"[22, 99]","[70, 2, 84, 67, 69, 75]","[5, 122, 139]","[0.0, 1.8]",180
"[59, 11]","[29, 3, 24, 43, 87, 57]","[134, 98, 113]","[1.3, 0.0]",77
"[30, 12]","[31, 70, 73, 25, 68, 3]","[57, 16, 90]","[0.0, 0.6]",8
"[3, 37]","[73, 71, 7, 84, 4, 26]","[99, 70, 22]","[0.0, 0.8]",31
